org_ID,parent_ID,code,finance_code,name,name_short_30,name_short_15,org_type_ID,org_type,active,location_address1,location_address2,location_address3,location_city,location_state,location_zip,location,location_zip_ext,location_fax,location_web_site,grade_code_low,grade_code_high,grade_span,group_code,group_name,group_ID,listing_order,sch_sub_type_ID,sch_sub_type_name,role_sort_order,source,OverRideSortOrder
2829,,07353,,A Childs University - Cranston,A Childs University,A Childs Univer,2,School,Y,695 Park Avenue,,,Cranston,RI,2910,"Cranston, RI  02910",,,,PK,KF,PK - KF,,,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,9999
2928,,17304,,A Childs University - Smithfield,A Childs University,AChilds Univers,2,School,Y,370 George Washington Highway,,,Smithfield,RI,2917,"Smithfield, RI  02917",,,,PK,KF,PK - KF,,,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,9999
2607,,32340,,Middlebridge School,Middlebridge School,Middlebridge,2,School,Y,333 Ocean Rd,,,Narragansett,RI,2882,"Narragansett, RI  02882",,(401) 783-2166,,09,12,09 - 12,,,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,950
3232,,27306,,Sea Rose Montessori Co-op,Sea Rose Montessori Co-op,Sea Rose Montes,2,School,Y,324 East Main Road,St. Mary's Episcapol Church House,,Portsmouth,RI,2871,"Portsmouth, RI  02871",,,searosemontessori.com,PK,03,PK - 03,,,,,7,"Independent (PK, Elem/Sec) ",,RIDE_Feb 16 2023 10:41AM,9999
3363,42.0,709A1,,Seekonk Christian Academy,Seekonk Christian Academy,Seekonk Christi,2,School,Y,95 Sagamore Road,,,seekonk,MA,2771,"seekonk, MA  02771",,,,PK,12,PK - 12,,,,,7,"Independent (PK, Elem/Sec) ",,RIDE_Feb 16 2023 10:41AM,9999
139,,01332,,Barrington Christian Academy,Barrington Christian Academy,Barr. Academy,2,School,Y,9 Old County Road,,,Barrington,RI,2806,"Barrington, RI  02806",,(401) 246-2540,www.bcacademy.org,KF,12,KF - 12,Barrington,Town of Barrington,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,9999
126,,01303,,Montessori Centre of Barrington,Montessori Centre,Montessori,2,School,Y,303 Sowams Road,,,Barrington,RI,2806,"Barrington, RI  02806",,,www.montessori-centre.com/,PK,KG,PK - KG,Barrington,Town of Barrington,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,9999
129,,01322,,Red Brick School,Red Brick School,Red Brick,2,School,Y,50 Middle Highway,,,Barrington,RI,2806,"Barrington, RI  02806",,,,PK,KG,PK - KG,Barrington,Town of Barrington,,,7,"Independent (PK, Elem/Sec) ",5.0,RIDE_Feb 16 2023 10:41AM,9999
124,,01301,,St. Andrew's School,St. Andrew's School,St. Andrew's,2,School,Y,63 Federal Road,,,Barrington,RI,2806,"Barrington, RI  02806-2407",2407.0,(401) 246-0510,www.standrews-ri.org,06,12,06 - 12,Barrington,Town of Barrington,,,7,"Independent (PK, Elem/Sec) ",,RIDE_Feb 16 2023 10:41AM,9999
170,,03311,,Community Christian School                        ,Community Christian           ,Community      ,2,School,Y,113 Church Street             ,,,Pascoag,RI,2859,"Pascoag, RI  02859",,,                                                            ,KF,08,KF - 08,Burrillville,Town of Burrillville,,,7,"Independent (PK, Elem/Sec) ",,RIDE_Feb 16 2023 10:41AM,9999
