org_ID,parent_ID,code,finance_code,name,name_short_30,name_short_15,org_type_ID,org_type,active,location_address1,location_address2,location_address3,location_city,location_state,location_zip,matches,score,match_address,x,y
2829,,07353,,A Childs University - Cranston,A Childs University,A Childs Univer,2,School,Y,695 Park Avenue,,,Cranston,RI,2910,1.0,100.0,"695 PARK AV, CRANSTON, RI, 02910",347536.61425831704,253094.30644278956
2928,,17304,,A Childs University - Smithfield,A Childs University,AChilds Univers,2,School,Y,370 George Washington Highway,,,Smithfield,RI,2917,2.0,100.0,"370 GEORGE WASHINGTON HWY, SMITHFIELD, RI, 02917",325939.6531035338,306458.9373381288
2607,,32340,,Middlebridge School,Middlebridge School,Middlebridge,2,School,Y,333 Ocean Rd,,,Narragansett,RI,2882,2.0,100.0,"333 OCEAN RD, NARRAGANSETT, RI, 02882",339544.10753474524,121061.94096040245
3232,,27306,,Sea Rose Montessori Co-op,Sea Rose Montessori Co-op,Sea Rose Montes,2,School,Y,324 East Main Road,St. Mary's Episcapol Church House,,Portsmouth,RI,2871,5.0,100.0,"324 E MAIN RD, PORTSMOUTH, RI, 02871",393209.428556585,168938.6686907053
139,,01332,,Barrington Christian Academy,Barrington Christian Academy,Barr. Academy,2,School,Y,9 Old County Road,,,Barrington,RI,2806,1.0,100.0,"9 OLD COUNTY RD, BARRINGTON, RI, 02806",375140.1955193917,245072.83999641542
126,,01303,,Montessori Centre of Barrington,Montessori Centre,Montessori,2,School,Y,303 Sowams Road,,,Barrington,RI,2806,1.0,100.0,"303 SOWAMS RD, BARRINGTON, RI, 02806",384282.001085945,244207.8041131517
129,,01322,,Red Brick School,Red Brick School,Red Brick,2,School,Y,50 Middle Highway,,,Barrington,RI,2806,5.0,100.0,"50 MIDDLE HWY, BARRINGTON, RI, 02806",374267.62820452,245478.74410349986
124,,01301,,St. Andrew's School,St. Andrew's School,St. Andrew's,2,School,Y,63 Federal Road,,,Barrington,RI,2806,5.0,100.0,"63 FEDERAL RD, BARRINGTON, RI, 02806",375176.65494581213,242535.58437025038
170,,03311,,Community Christian School                        ,Community Christian           ,Community      ,2,School,Y,113 Church Street             ,,,Pascoag,RI,2859,1.0,94.46,"113 CHURCH ST, BURRILLVILLE, RI, 02859",272060.7392535313,319154.03585015266
2487,,07351,,Miss Lee Ann's Early Learning Center,Miss Lee Ann's,Miss Lee,2,School,Y,180 Oaklawn Avenue,,,Cranston,RI,2920,2.0,100.0,"180 OAKLAWN AV, CRANSTON, RI, 02920",336410.9883598271,250461.4504169873
408,,09327,,"A Step Up, Inc.                                   ","A Step Up, Inc.               ","A Step Up, Inc.",2,School,Y,88 Crompton Road              ,,,East Greenwich,RI,2818,1.0,100.0,"88 CROMPTON RD, EAST GREENWICH, RI, 02818",319515.2150299418,210519.7382925155
408,,09327,,"A Step Up, Inc.                                   ","A Step Up, Inc.               ","A Step Up, Inc.",2,School,Y,88 Crompton Road              ,,,East Greenwich,RI,2818,1.0,100.0,"88 CROMPTON RD, EAST GREENWICH, RI, 02818",319515.2150299418,210519.7382925155
399,,09301,,The Stork's Nest Child Academy               ,The Stork's Nest Child Academy,Stork's Nest   ,2,School,Y,3116 South County Trail       ,,,East Greenwich,RI,2818,1.0,100.0,"3116 S COUNTY TRL, EAST GREENWICH, RI, 02818",330488.6338287729,192563.66313138313
473,,10333,,Ocean State Montessori School,Ocean State Montessori School,Montessori,2,School,Y,100 Grove Avenue,PO Box 14423,,East Providence,RI,2914,1.0,100.0,"100 GROVE AV, EAST PROVIDENCE, RI, 02914",362834.98641153856,267792.12723674683
452,,10301,,Providence Country Day School,Providence Country Day,Country Day,2,School,Y,660 Waterman Avenue,,,East Providence,RI,2914,5.0,100.0,"660 WATERMAN AVE, EAST PROVIDENCE, RI, 02914",367647.7298490064,267561.2228240823
455,,10304,,The Gordon School,The Gordon School,Gordon School,2,School,Y,45 Maxfield Avenue,,,East Providence,RI,2914,1.0,100.0,"45 MAXFIELD AV, EAST PROVIDENCE, RI, 02914",362825.8209884495,261492.40792554402
462,,10312,,The Wolf School,The Wolf School,Wolf School,2,School,Y,215 Ferris Avenue,,,East Providence,RI,2916,1.0,100.0,"215 FERRIS AV, EAST PROVIDENCE, RI, 02916",369514.28353018704,278792.4910310201
462,,10312,,The Wolf School,The Wolf School,Wolf School,2,School,Y,215 Ferris Avenue,,,East Providence,RI,2916,1.0,100.0,"215 FERRIS AV, EAST PROVIDENCE, RI, 02916",369514.28353018704,278792.4910310201
1618,,97304,,Quest Montessori School,Quest Montessori School,Quest Montessor,2,School,Y,1150 Boston Neck Road,,,Narragansett,RI,2882,1.0,100.0,"1150 BOSTON NECK RD, NARRAGANSETT, RI, 02882",344717.45940768346,147567.68221215223
509,,13301,,Harmony Hill School,Harmony Hill School,Harmony Hill,2,School,Y,63 Harmony Hill Road,,,Chepachet,RI,2814,5.0,94.81,"63 HARMONY HILL RD, GLOCESTER, RI, 02814",293571.46373170346,303399.5738417857
509,,13301,,Harmony Hill School,Harmony Hill School,Harmony Hill,2,School,Y,63 Harmony Hill Road,,,Chepachet,RI,2814,5.0,94.81,"63 HARMONY HILL RD, GLOCESTER, RI, 02814",293571.46373170346,303399.5738417857
552,,16334,,Trinity Christian Academy,Trinity Christian Academy,Trinity Chrst,2,School,Y,2119 Hartford Avenue,,,Johnston,RI,2919,2.0,100.0,"2119 HARTFORD AV, JOHNSTON, RI, 02919",320009.2436290378,272558.5359109306
626,,19321,,Silveira Kindergarten and Nursery School          ,Silveira School               ,Silveira School,2,School,Y,143 Peckham Lane              ,,,Middletown,RI,2842,1.0,100.0,"143 PECKHAM LN, MIDDLETOWN, RI, 02842",396580.22210401756,159026.17041892477
