org_ID,parent_ID,code,name,name_short_30,name_short_15,location_address1,location_city,location_state,location_zip,location,location_zip_ext,location_phone,location_fax,location_email,location_web_site,sch_sub_type_ID,sch_sub_type_name,role_sort_order,source
3585,42,70506,Brigham Young University,Brigham Young University,Brigham Young U,Brigham Young University,Provo,UT,84602,"Provo, UT  84602",,(801) 422-4636,,,,10,Private Colleges and Universities,,RIDE_May  3 2023  3:37PM
1102,,28501,Brown University                                  ,Brown University              ,Brown Univ.    ,1 Prospect Street               ,Providence,RI,2912,"Providence, RI  02912",,(401) 863-1000,(401) 863-7737,                                                  ,www.brown.edu                                                            ,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1174,,31501,Bryant University,Bryant University,Bryant Univ,1150 Douglas Pike,Smithfield,RI,2917,"Smithfield, RI  02917",,(401) 232-6008,(401) 232-6709,,www.bryant.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
3452,42,70505,Clarkson University,Clarkson University,Clarkson Univ,8 Clarkson Ave,Potsdam,NY,13699,"Potsdam, NY  13699",,(315) 268-6400,,,www.clarkson.edu,10,Private Colleges and Universities,,RIDE_May  3 2023  3:37PM
1105,,28504,Johnson and Wales University,Johnson and Wales University,Johnson  Wales,8 Abbott Park Place,Providence,RI,2903,"Providence, RI  02903",,(401) 598-2473,(401) 598-1833,,www.jwu.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
704,,21502,Naval War College,Naval War College,Naval War,686 Cushing Road,Newport,RI,2841,"Newport, RI  02841",,(401) 841-3454,(401) 841-1297,,www.nwc.navy.mil,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1376,,35506,New England Institute of Technology               ,NE Institute of Technology    ,NEIT           ,1 New England Tech Boulevard,East Greenwich,RI,2818,"East Greenwich, RI  02818",,,,,,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1103,,28502,Providence College,Providence College,Providence Col.,549 River Avenue,Providence,RI,2918,"Providence, RI  02918",,(401) 865-2153,(401) 865-2105,,www.providence.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1104,,28503,Rhode Island School of Design,Rhode Island School of Design,RISD,2 College Street,Providence,RI,2903,"Providence, RI  02903",,(401) 454-6764,(401) 454-6406,,www.risd.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
1602,,96501,Roger Williams University,Roger Williams University,Roger Williams,1 Old Ferry Road,Bristol,RI,2809,"Bristol, RI  02809",,(401) 253-1040,(401) 254-3158,,www.rwu.edu,10,Private Colleges and Universities,5,RIDE_May  3 2023  3:37PM
